frame,key_pressed
0,none
1,none
2,none
3,none
4,none
5,RIGHT
6,none
7,none
8,UP
9,none
10,none
11,none
12,none
13,none
14,LEFT
15,none
16,none
17,none
18,none
19,none
20,none
21,none
22,none
23,none
24,none
25,none
26,none
27,none
28,none
29,none
30,none
31,none
32,DOWN
33,none
34,none
35,none
36,none
37,LEFT
38,none
39,none
40,none
41,none
42,none
43,none
44,UP
45,none
46,none
47,none
48,none
49,none
50,none
51,RIGHT
52,none
53,none
54,none
55,none
56,none
57,none
58,none
59,DOWN
60,none
61,none
62,none
63,none
64,none
65,none
66,none
67,none
68,none
69,none
70,none
71,none
72,none
73,none
74,none
75,none
76,none
77,none
78,none
79,RIGHT
80,none
81,none
82,none
83,none
84,none
85,none
86,none
87,none
88,none
89,none
90,none
91,none
92,none
93,none
94,none
95,UP
96,none
97,none
98,none
99,none
100,none
101,none
102,none
103,none
104,none
105,none
106,none
107,none
108,none
109,RIGHT
110,none
111,none
112,none
113,none
114,none
115,none
116,none
117,none
118,none
119,UP
120,none
121,LEFT
122,none
123,none
124,none
125,none
126,none
127,none
128,none
129,none
130,none
131,none
132,DOWN
133,none
134,none
135,none
136,none
137,LEFT
138,none
139,none
140,none
141,none
142,none
143,none
144,none
145,none
146,none
147,none
148,none
149,none
150,DOWN
151,none
152,none
153,none
154,none
155,none
156,none
157,none
158,LEFT
159,none
160,none
161,none
162,none
163,none
164,none
165,none
166,UP
167,none
168,none
169,none
170,none
171,none
172,LEFT
173,UP
174,none
175,none
176,none
177,none
178,none
179,none
180,RIGHT
181,none
182,none
183,none
184,none
185,none
186,none
187,none
188,none
189,none
190,none
191,DOWN
192,LEFT
193,none
194,none
195,none
196,none
197,none
198,none
199,none
200,none
201,none
202,DOWN
203,none
204,none
205,RIGHT
206,none
207,none
208,none
209,none
210,UP
211,none
212,none
213,none
214,RIGHT
215,none
216,none
217,none
218,none
219,none
220,none
221,none
222,none
223,none
224,none
225,none
226,none
227,none
228,none
229,none
230,none
231,none
232,none
233,UP
234,none
235,none
236,none
237,LEFT
238,none
239,none
240,DOWN
241,none
242,none
243,none
244,none
245,none
246,none
247,none
248,none
249,none
250,none
251,none
252,none
253,none
254,LEFT
255,UP
256,none
257,none
258,none
259,none
260,none
261,none
262,none
263,none
264,none
265,none
266,none
267,none
268,LEFT
269,none
270,none
271,none
272,none
273,none
274,none
275,none
276,none
277,none
278,none
279,none
280,DOWN
281,none
282,none
283,none
284,none
285,none
286,none
287,none
288,RIGHT
289,none
290,UP
291,none
292,LEFT
