frame,key_pressed
0,none
1,none
2,none
3,none
4,none
5,none
6,none
7,none
8,none
9,none
10,UP
11,none
12,none
13,none
14,none
15,none
16,none
17,none
18,none
19,none
20,none
21,none
22,none
23,none
24,none
25,LEFT
26,none
27,none
28,none
29,none
30,none
31,none
32,none
33,none
34,none
35,none
36,none
37,none
38,none
39,none
40,none
41,none
42,none
43,none
44,none
45,none
46,none
47,none
48,none
49,DOWN
50,none
51,none
52,none
53,none
54,none
55,none
56,none
57,LEFT
58,UP
59,none
60,none
61,none
62,none
63,none
64,none
65,none
66,RIGHT
67,none
68,none
69,none
70,none
71,DOWN
72,none
73,none
74,none
75,none
76,none
77,LEFT
78,none
79,none
80,none
81,none
82,DOWN
83,none
84,none
85,none
86,none
87,none
88,none
89,none
90,none
91,none
92,none
93,none
94,none
95,none
96,none
97,none
98,none
99,RIGHT
100,none
101,none
102,none
103,none
104,none
105,none
106,none
107,DOWN
108,LEFT
109,none
110,none
111,none
112,none
113,none
114,none
115,none
116,none
117,UP
118,none
119,none
120,none
121,RIGHT
122,none
123,none
124,none
125,none
126,none
127,none
128,none
129,none
130,none
131,none
132,none
133,none
134,none
135,UP
136,none
137,none
138,none
139,none
140,none
141,none
142,none
143,none
144,none
145,RIGHT
146,none
147,none
148,UP
149,none
150,none
151,none
152,none
153,none
154,none
155,none
156,none
157,none
