frame,key_pressed
0,none
1,none
2,none
3,none
4,none
5,none
6,none
7,none
8,none
9,none
10,none
11,none
12,DOWN
13,none
14,LEFT
15,none
16,none
17,none
18,none
19,none
20,none
21,none
22,UP
23,none
24,none
25,none
26,none
27,LEFT
28,none
29,none
30,none
31,none
32,none
33,none
34,none
35,none
36,none
37,none
38,none
39,none
40,none
41,none
42,none
43,none
44,none
45,none
46,none
47,none
48,none
49,none
50,DOWN
51,none
52,none
53,none
54,none
55,none
56,none
57,RIGHT
58,none
59,none
60,none
61,none
62,none
63,none
64,none
65,none
66,UP
67,none
68,LEFT
69,none
70,none
71,none
72,none
73,none
74,none
75,DOWN
76,none
77,RIGHT
78,none
79,none
80,none
81,none
82,none
83,none
84,UP
85,none
86,LEFT
87,none
88,none
89,none
90,none
91,none
92,DOWN
93,none
94,none
95,none
96,none
97,none
98,none
99,RIGHT
100,none
101,UP
102,none
103,none
104,none
105,none
106,none
107,none
108,none
109,LEFT
110,none
111,none
112,none
113,none
114,none
115,UP
116,none
117,RIGHT
118,none
119,none
120,none
121,none
122,DOWN
123,none
124,none
125,none
126,none
127,LEFT
128,none
129,DOWN
130,none
131,none
132,none
133,none
134,none
135,none
136,none
137,LEFT
138,none
139,none
