frame,key_pressed
0,none
1,RIGHT
2,none
3,none
4,none
5,none
6,none
7,none
8,UP
9,none
10,none
11,none
12,none
13,none
14,none
15,none
16,none
17,none
18,LEFT
19,none
20,none
21,none
22,none
23,none
24,none
25,UP
26,LEFT
27,none
28,none
29,none
30,none
31,none
32,none
33,UP
34,LEFT
35,none
36,none
37,none
38,none
39,DOWN
40,none
41,none
42,none
43,none
44,none
45,none
46,none
47,none
48,none
49,none
50,none
51,none
52,none
53,none
54,none
55,none
56,none
57,none
58,none
59,none
60,LEFT
61,none
62,UP
63,none
64,none
65,none
66,none
67,none
68,none
69,RIGHT
70,DOWN
71,none
72,none
73,none
74,none
75,none
76,none
77,none
78,RIGHT
79,none
80,none
81,none
82,none
83,none
84,none
85,none
86,DOWN
87,LEFT
88,none
89,none
90,none
91,none
92,none
93,none
94,none
95,none
96,DOWN
97,none
98,none
