frame,key_pressed
0,none
1,none
2,none
3,none
4,none
5,none
6,none
7,none
8,none
9,UP
10,none
11,none
12,none
13,none
14,none
15,none
16,LEFT
17,none
18,none
19,none
20,none
21,none
22,none
23,DOWN
24,none
25,none
26,none
27,none
28,none
29,none
30,none
31,RIGHT
32,none
33,none
34,none
35,none
36,none
37,none
38,none
39,UP
40,none
41,none
42,none
43,none
44,none
45,none
46,none
47,none
48,LEFT
49,none
50,none
51,none
52,none
53,none
54,none
55,none
56,none
57,none
58,none
59,none
60,none
61,UP
62,RIGHT
63,none
64,none
65,none
66,none
67,none
68,none
69,none
70,none
71,none
72,none
73,DOWN
74,none
75,none
76,none
77,none
78,none
79,none
80,none
81,none
82,none
83,none
84,none
85,none
86,none
87,none
88,none
89,none
90,none
91,none
92,none
93,none
94,none
95,LEFT
96,none
97,none
98,none
99,none
100,none
101,none
102,none
103,none
104,none
105,none
106,none
107,none
108,none
109,none
110,none
111,none
112,none
113,none
114,none
115,none
116,none
117,none
118,none
119,none
120,UP
121,none
122,none
123,none
124,none
125,none
126,none
127,none
128,none
129,none
130,none
131,none
132,none
133,none
134,none
135,none
136,none
137,none
138,none
139,none
140,none
141,none
142,none
143,none
144,none
145,none
146,none
147,none
148,RIGHT
149,none
150,none
151,none
152,none
153,none
154,none
155,none
156,none
157,none
158,none
159,none
160,none
161,DOWN
162,none
163,none
164,none
165,none
166,none
167,none
168,none
169,none
170,none
171,none
172,none
173,none
174,LEFT
175,none
176,none
177,none
178,none
179,UP
180,none
181,none
182,none
183,none
184,none
185,none
186,none
187,RIGHT
188,none
189,none
190,none
191,none
192,none
193,none
194,none
195,none
196,UP
197,RIGHT
198,none
199,none
200,none
201,none
202,UP
203,RIGHT
204,none
205,none
206,none
207,none
208,none
209,none
210,none
211,UP
212,LEFT
213,none
214,none
215,none
216,none
217,none
218,none
219,DOWN
220,none
221,none
222,none
223,none
224,none
225,none
226,none
227,none
228,none
229,none
230,none
231,none
232,none
233,none
234,none
235,none
236,none
237,none
238,LEFT
239,none
240,none
241,none
242,none
243,none
244,none
245,none
246,none
247,none
248,none
249,none
250,UP
251,RIGHT
252,none
253,none
254,none
255,none
256,none
257,none
258,none
259,none
260,none
261,none
262,none
263,UP
264,none
265,none
266,none
267,none
268,none
269,RIGHT
270,none
271,none
272,none
273,none
274,none
275,none
276,UP
277,none
278,none
279,none
280,none
281,none
282,none
283,none
284,none
285,none
286,none
287,none
288,none
289,none
290,LEFT
291,none
292,none
293,none
294,none
295,none
296,none
297,none
298,none
299,none
300,none
301,none
302,none
303,none
304,none
305,none
306,none
307,none
308,none
309,none
310,none
311,none
312,none
313,DOWN
314,none
315,none
316,none
317,none
318,none
319,RIGHT
320,none
321,none
322,none
323,none
324,none
325,none
326,none
327,none
328,none
329,none
330,none
331,none
332,none
333,none
334,none
335,none
336,none
337,none
338,none
339,none
340,none
341,none
342,none
343,none
344,none
345,none
346,UP
347,none
348,none
349,none
350,LEFT
351,none
352,none
353,none
354,none
355,none
356,none
357,none
358,none
359,none
360,none
361,none
362,DOWN
363,RIGHT
364,none
365,none
366,none
367,none
368,none
369,none
370,none
371,none
372,none
373,none
374,DOWN
375,none
376,none
377,none
378,none
379,none
380,none
381,none
382,none
383,none
384,LEFT
385,none
386,none
387,none
388,none
389,none
390,UP
391,none
392,none
393,none
394,none
395,none
396,none
397,none
398,none
399,none
400,LEFT
401,none
402,none
403,none
404,none
405,none
406,DOWN
407,RIGHT
408,none
409,none
410,none
411,DOWN
412,none
413,none
414,none
415,none
416,none
417,none
418,none
419,LEFT
420,none
421,none
422,none
423,none
424,none
425,none
426,none
427,UP
428,RIGHT
429,none
430,none
431,none
432,none
433,UP
434,none
435,none
436,none
437,none
438,none
439,none
440,none
441,none
442,none
443,none
444,RIGHT
445,none
446,none
447,none
448,none
449,none
450,none
451,none
452,DOWN
453,none
454,none
455,LEFT
456,none
457,none
458,none
459,none
460,none
461,none
462,none
463,none
464,none
465,UP
466,LEFT
467,none
468,none
469,none
470,none
471,none
472,none
473,none
474,none
475,none
476,UP
477,LEFT
478,none
479,none
480,none
481,none
482,none
483,DOWN
484,none
485,none
486,none
487,none
488,RIGHT
489,none
490,none
491,none
492,none
493,none
494,none
495,none
496,none
497,none
498,none
499,none
500,none
501,none
502,DOWN
503,none
504,none
505,none
506,none
507,none
508,none
509,none
510,none
511,none
512,RIGHT
513,none
514,none
515,DOWN
516,none
517,none
518,none
519,LEFT
520,none
521,none
522,none
523,none
524,UP
525,none
526,none
527,none
528,LEFT
529,none
530,none
531,none
532,UP
533,none
534,none
535,RIGHT
536,none
537,none
538,none
539,none
540,none
541,none
542,none
543,DOWN
544,none
545,none
546,LEFT
547,none
548,none
549,none
550,DOWN
551,none
552,none
553,none
554,none
555,RIGHT
556,none
557,none
558,none
559,none
560,none
561,none
562,UP
563,none
564,none
565,none
566,none
567,none
568,none
569,none
570,LEFT
571,none
572,none
573,UP
574,none
575,RIGHT
576,none
577,none
578,none
579,none
580,none
581,UP
582,LEFT
583,none
584,none
585,none
586,none
587,none
588,none
589,UP
590,none
591,RIGHT
592,none
593,none
594,none
